SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,5,4,0,0,38
SSC50982,0,0,0,6,6,8,3,0,0,17,3,0,3,3,11,0,3,0,0,28,15,32,36,77,109,78,26,3,0,373
SSC50983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,18,24,44,43,42,11,0,0,194
SSC50984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,4,0,0,16
SSC50985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,12
SSC50986,3,3,3,5,5,3,0,0,0,20,0,4,3,9,7,3,0,0,0,31,40,24,50,94,136,70,21,0,0,433
SSC50987,3,3,0,0,0,0,0,0,0,10,0,3,0,3,0,0,0,0,0,8,17,35,74,47,74,44,9,0,0,302
SSC50988,13,53,153,100,106,71,27,0,0,526,20,54,154,110,116,59,24,0,0,539,422,1058,2750,2124,1977,1399,394,34,4,10163
SSC50989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,0,20
SSC50990,3,7,29,23,30,13,8,0,0,120,5,5,36,49,40,25,17,7,3,180,168,339,863,802,950,626,278,40,0,4059
SSC50991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,4,3,0,0,0,21
SSC50992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5
SSC50993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50994,8,7,13,11,3,7,0,0,0,48,8,4,6,12,3,3,7,0,0,44,77,79,147,199,276,246,67,13,0,1108
SSC50995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SSC50996,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,21
SSC50997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6
SSC50998,7,7,3,10,14,17,0,0,0,57,4,3,7,13,14,21,8,4,0,74,137,175,214,393,548,432,149,29,0,2078
SSC50999,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,9,21,13,42,45,73,58,19,0,0,282
SSC51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,11,8,0,0,0,44
SSC51001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51002,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,3,3,3,0,0,19
SSC51003,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,3,3,0,6,10,32,20,6,0,0,84
SSC51004,0,3,6,13,5,5,0,0,0,35,0,0,0,0,0,0,0,0,0,3,7,8,31,30,19,15,0,0,0,105
SSC51005,5,14,30,24,24,23,6,0,0,134,4,6,28,44,45,13,3,0,0,159,141,280,902,1082,958,540,114,7,0,4022
SSC51006,11,8,18,11,12,18,0,0,0,81,5,8,10,18,17,22,7,0,0,80,98,106,235,313,388,298,69,8,3,1527
