SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC50779,..,10,10,23,5,32,6,0,11,11,0,11,0,0,0,0,0,0,45,14,53
SSC50780,..,5,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,5,14
SSC50781,..,25,25,37,0,39,12,0,12,11,0,11,7,0,7,0,0,0,62,21,85
SSC50782,..,5,5,22,0,22,4,0,4,4,0,4,0,0,0,0,0,0,30,5,39
SSC50783,..,3,3,6,0,10,3,0,3,0,0,0,0,0,0,0,0,0,12,0,18
SSC50784,..,12,12,3,0,3,8,0,8,4,0,4,0,0,0,0,0,0,12,12,21
SSC50785,..,4,4,15,0,19,3,0,3,6,0,6,0,0,0,0,0,0,33,6,37
SSC50786,..,63,63,58,3,61,16,0,16,14,0,14,12,0,12,0,0,0,91,61,153
SSC50787,..,5,5,14,0,12,6,0,6,7,0,7,3,0,3,0,0,0,22,6,33
SSC50788,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SSC50789,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
SSC50790,..,0,0,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,11,0,13
SSC50791,..,15,15,5,0,11,4,0,4,0,0,0,0,0,0,0,0,0,10,13,24
SSC50792,..,428,428,517,68,579,249,21,269,227,4,231,113,0,114,82,0,84,1181,523,1708
SSC50793,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50794,..,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,12,0,12
SSC50795,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50796,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
