SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC50986,4,41,120,58,62,286,5,290
SSC50987,30,105,82,23,14,251,19,272
SSC50988,395,2614,3079,1036,547,7673,238,7915
SSC50989,0,6,0,4,6,13,0,13
SSC50990,263,1170,1236,367,175,3211,92,3312
SSC50991,0,6,6,3,9,18,0,16
SSC50992,0,0,4,0,0,4,0,9
SSC50993,0,0,0,0,0,0,0,0
SSC50994,53,302,338,160,116,962,50,1006
SSC50995,0,0,3,0,3,4,0,4
SSC50996,3,13,6,3,0,24,0,24
SSC50997,0,0,0,0,0,4,0,4
SSC50998,72,509,703,208,111,1600,41,1639
SSC50999,27,99,91,19,6,246,10,255
SSC51000,0,10,19,6,3,33,0,35
SSC51001,0,0,0,0,0,0,0,0
SSC51002,0,0,3,0,3,10,0,11
SSC51003,0,17,30,15,11,71,5,76
SSC51004,56,22,11,4,0,93,5,97
SSC51005,134,943,1198,274,126,2680,56,2733
SSC51006,10,210,402,231,207,1057,26,1082
SSC51007,0,3,5,3,3,10,0,14
SSC51008,0,0,0,0,0,0,0,0
SSC51009,0,0,0,0,7,5,0,5
SSC51010,0,0,0,0,0,0,0,0
SSC51011,334,1707,1485,421,186,4133,104,4231
SSC51012,0,0,0,0,0,0,0,0
SSC51013,0,0,8,3,4,14,0,14
SSC51014,19,46,46,12,11,131,9,139
SSC51015,36,176,162,41,22,438,9,452
SSC51016,14,249,434,186,147,1034,29,1061
SSC51017,0,0,0,0,0,0,0,0
SSC51018,0,0,0,0,0,0,0,0
SSC51019,0,0,0,0,0,0,0,0
SSC51020,63,820,1037,366,194,2477,41,2514
SSC51021,40,246,289,98,86,754,28,782
SSC51022,0,0,0,0,0,0,0,0
SSC51023,0,0,0,0,0,0,0,0
SSC51024,0,3,4,3,8,14,0,14
SSC51025,0,0,3,0,3,10,0,10
SSC51026,15,344,499,188,77,1120,29,1146
SSC51027,0,0,9,3,5,19,3,22
SSC51028,0,0,0,0,0,0,0,0
SSC51029,0,0,0,0,0,0,0,0
SSC51030,0,55,84,85,85,303,9,316
SSC51031,0,4,24,7,17,44,4,48
SSC51032,32,20,12,0,0,69,13,83
SSC51033,0,0,0,0,6,4,0,11
SSC51034,3,43,50,22,19,134,10,139
SSC51035,0,0,0,0,0,0,0,0
SSC51036,0,0,0,0,3,8,3,8
SSC51037,36,436,894,375,203,1945,32,1985
SSC51038,0,13,28,12,4,54,0,54
SSC51039,20,51,41,17,11,149,4,150
SSC51040,7,20,37,18,11,99,5,102
SSC51041,0,20,30,14,7,64,0,64
SSC51042,0,0,13,5,7,26,0,26
SSC51043,0,3,5,6,5,24,0,20
SSC51044,0,0,0,0,0,0,0,3
SSC51045,58,289,419,198,150,1116,40,1151
SSC51046,4,66,153,87,83,389,6,404
SSC51047,0,0,0,0,0,4,4,6
SSC51048,0,4,3,4,3,11,0,11
SSC51049,0,10,12,5,11,40,3,47
SSC51050,49,365,658,268,158,1494,35,1524
SSC51051,0,0,3,4,3,16,0,16
SSC51052,0,6,16,18,7,43,0,43
SSC51053,0,9,6,3,4,16,0,16
SSC51054,63,374,315,152,92,989,29,1014
SSC51055,0,0,3,4,5,7,0,7
SSC51056,0,0,0,0,0,3,0,3
SSC51057,3,26,44,20,20,111,5,113
SSC51058,0,0,0,0,0,0,0,0
SSC51059,95,267,298,71,35,756,26,785
SSC51060,0,20,47,46,43,152,7,159
SSC51061,0,13,18,9,7,51,0,51
SSC51062,0,0,4,0,3,10,0,10
SSC51063,0,3,0,0,0,5,0,5
SSC51064,0,0,4,3,0,5,0,4
SSC51065,0,3,5,0,3,12,0,14
SSC51066,0,18,36,24,20,100,3,102
SSC51067,0,3,0,0,0,11,3,12
SSC51068,0,0,6,4,0,14,0,14
SSC51069,0,6,0,0,0,3,3,8
SSC51070,0,0,0,0,0,0,0,0
SSC51071,0,0,5,5,9,22,4,24
SSC51072,0,0,5,0,3,8,0,8
SSC51073,11,104,141,57,24,344,10,351
SSC51074,0,3,16,6,7,32,3,33
SSC51075,0,3,0,0,3,8,0,8
SSC51076,0,9,41,24,22,100,0,103
SSC51077,0,0,3,0,0,3,0,3
SSC51078,9,66,56,29,11,170,9,179
SSC51079,0,3,12,9,8,26,0,23
SSC51080,0,0,9,5,9,23,0,26
SSC51081,0,3,3,5,0,12,0,12
SSC51082,3,25,56,36,53,169,3,172
SSC51083,105,575,503,173,112,1461,87,1545
SSC51084,0,3,12,7,15,37,0,37
SSC51085,0,3,12,3,4,21,0,21
SSC51086,0,0,0,0,0,5,0,4
SSC51087,0,0,0,0,0,0,0,0
SSC51088,155,1075,1577,484,199,3489,71,3557
SSC51089,0,0,13,11,13,34,0,37
SSC51090,0,0,3,0,5,4,0,5
SSC51091,3,0,8,11,7,24,0,24
SSC51092,0,12,17,13,21,63,5,66
SSC51093,0,0,0,4,0,4,0,4
SSC51094,0,6,15,7,7,34,0,38
SSC51095,0,0,0,0,0,0,0,0
SSC51096,0,0,0,0,0,0,0,3
SSC51097,3,5,10,7,0,26,0,26
SSC51098,0,0,8,0,3,8,0,8
SSC51099,8,20,19,13,7,64,4,67
SSC51100,0,14,13,10,7,52,0,51
SSC51101,95,417,514,161,83,1266,55,1322
SSC51102,82,53,15,3,0,161,40,202
SSC51103,41,302,630,251,116,1336,54,1392
SSC51104,0,22,50,20,9,97,0,101
SSC51105,0,0,7,9,4,14,0,14
SSC51106,0,3,0,0,0,6,0,8
SSC51107,0,0,3,0,5,6,0,7
SSC51108,0,4,9,3,4,26,0,25
SSC51109,0,3,10,6,5,29,0,25
SSC51110,0,0,11,5,4,20,0,18
SSC51111,0,0,0,0,5,8,0,8
SSC51112,342,1939,1663,353,166,4463,151,4618
SSC51113,0,0,8,0,3,13,0,13
SSC51114,88,805,1085,460,300,2741,70,2809
SSC51115,0,5,19,4,0,31,0,31
SSC51116,0,0,4,0,0,3,0,3
SSC51117,17,102,74,18,16,238,24,264
SSC51118,0,0,0,4,3,10,0,14
SSC51119,0,0,0,0,0,0,0,0
SSC51120,77,445,560,156,98,1339,29,1365
SSC51121,0,0,5,3,0,6,0,6
SSC51122,0,14,42,30,30,112,0,111
SSC51123,0,0,0,0,0,0,0,3
SSC51124,0,0,0,0,0,0,0,0
SSC51125,7,252,429,101,58,846,22,862
