SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50736,0,10,10,8,7,20,4,12,0,72,0,12,7,7,16,9,5,3,17,70,70,152,119,172,333,271,161,214,33,1519
SSC50737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,7,4,0,20
SSC50738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,6,3,4,0,35
SSC50739,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,7,4,25,26,21,50,36,18,38,5,206
SSC50740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,3,11,0,19
SSC50741,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,6,18,15,40,37,54,40,53,23,79,10,342
SSC50742,8,34,20,33,36,48,16,39,3,233,10,29,15,13,46,48,17,18,46,243,176,579,429,519,890,794,421,571,110,4481
SSC50743,0,3,0,0,3,0,0,0,0,10,0,0,3,3,0,5,0,3,10,21,39,50,41,54,39,38,26,68,15,377
SSC50744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,0,18
SSC50745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50746,0,14,5,9,8,16,5,5,0,67,0,8,13,3,7,19,3,18,10,82,81,310,255,205,292,409,217,386,27,2186
SSC50747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,3,11,3,9,0,48
SSC50748,0,18,15,27,22,22,14,16,0,131,3,14,7,18,33,24,8,20,50,184,85,287,257,295,627,445,212,291,72,2571
SSC50749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50750,0,18,15,15,34,26,14,20,0,138,3,16,16,12,32,31,9,17,22,150,96,349,289,296,718,610,265,435,46,3097
SSC50751,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,4,0,13,3,15,19,17,18,19,7,32,0,128
SSC50752,0,11,15,0,11,3,3,4,0,49,0,3,0,6,3,9,4,0,11,41,35,121,102,111,196,146,78,107,20,916
SSC50753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC50754,0,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,4,11,5,4,4,7,14,15,8,28,5,92
SSC50755,0,0,0,0,3,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,17,16,16,23,19,15,6,29,0,145
SSC50756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7
SSC50757,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,6,10,17,13,16,17,22,19,37,4,146
