SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC50716,0,4,0,0,0,7,0,0,3,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,0,11,0,33,11,59
SSC50717,0,3,4,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,15
SSC50718,7,15,6,8,0,64,13,3,42,13,5,0,77,3,0,0,0,11,0,17,3,0,3,0,3,0,11,0,0,3,3,9,0,11,90,26,198,64,99,14,482
SSC50719,39,213,68,47,6,467,50,25,192,79,65,17,431,3,0,13,8,8,3,41,6,3,24,14,81,0,128,6,0,44,23,42,18,138,302,137,1159,495,851,117,3059
SSC50720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,15
SSC50721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,3,27
SSC50722,0,3,0,3,0,10,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,25,3,27,0,60
SSC50723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC50724,0,3,0,0,0,0,0,0,4,3,3,0,10,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,3,0,3,0,0,5,12,43,11,72
SSC50725,8,19,7,15,0,51,3,0,8,16,12,0,44,0,0,0,0,5,4,9,0,0,0,9,26,3,36,0,0,3,4,13,3,27,14,12,56,86,239,35,441
SSC50726,5,11,0,0,0,14,3,0,3,0,3,0,12,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,4,0,3,0,4,5,8,26,21,59,3,123
SSC50727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50728,0,4,3,0,0,12,0,0,0,0,3,0,4,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,10,23,0,43
SSC50729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,21
SSC50731,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,3,20,0,35
SSC50732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,6,0,11,0,0,12,18,45,3,85
SSC50733,0,4,3,0,0,11,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,24,18,31,7,84
SSC50734,64,192,45,59,18,452,72,45,212,62,53,9,450,8,0,28,9,18,3,72,10,0,34,22,61,3,127,12,3,47,24,36,10,131,344,191,1294,503,731,121,3183
