SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC51669,0,0,0,0,0,0,0,0,0,3
SSC51670,15,5,0,0,3,0,4,0,0,24
SSC51671,3,0,0,0,0,0,0,0,0,3
SSC51672,713,1610,777,614,858,468,257,473,89,5864
SSC51673,17,7,9,0,3,6,7,0,0,46
SSC51674,95,129,133,118,105,85,88,143,10,909
SSC51675,5,3,0,0,0,0,0,0,0,13
SSC51676,11,3,4,0,0,0,0,7,0,33
SSC51677,9,0,0,0,0,0,3,0,0,13
SSC51678,6,5,0,0,0,0,0,0,0,16
SSC51679,44,23,23,17,15,12,10,20,3,170
SSC51680,0,0,0,0,0,0,0,0,0,0
SSC51681,15,0,0,0,0,0,0,0,0,13
SSC51682,0,0,0,0,0,0,0,0,0,0
SSC51683,0,0,0,0,0,0,0,0,0,0
SSC59494,104,235,349,162,114,90,276,386,58,1773
SSC59797,11,78,87,3,10,0,35,100,9,334
